timestamp,Va_V,Vb_V,Vc_V,Vll_V,Ia_A,Ib_A,Ic_A,P_kW,Q_kvar,S_kVA,FP,freq_Hz,THD_V_pct,THD_I_pct,deseq_V_pct,evento
2026-01-01 00:00:00,220.20735051523886,220.3814696642868,220.55657141181723,381.71246980874236,61.58481482416262,65.09658284993623,63.10527057434506,38.28892608382009,16.091998696181047,41.53305048621075,0.9218905338179354,59.98896661550935,1.9914080321803744,8.4380141465538,0.1584617699918394,normal
2026-01-01 00:01:00,220.50606081395495,217.6322173962359,220.85153985453542,380.46794885289216,56.931323103030266,62.44651107591974,59.81818500716645,35.695674749234435,15.763437005151486,39.02136776201613,0.9147725155851926,59.993535062046796,2.044838786117289,9.169994936789756,1.4655715627384671,normal
2026-01-01 00:02:00,220.22444185220516,219.42517079353078,221.96332958196015,381.9824102945006,64.82948944023373,60.313014394515484,64.77898131053136,39.37298444643493,17.259365824385462,42.989738460232246,0.9158693645660811,59.99375202611411,2.0471386388345723,7.84055820300234,1.1508959210576577,normal
2026-01-01 00:03:00,219.25737444775143,218.84234147365004,221.36930945875667,380.74461932545444,68.4572834268879,67.32475089999865,65.79832076997025,39.84989694127003,19.795782364106575,44.4959243710805,0.8955853261736015,60.00502353143578,2.1735121132313147,9.459273416324073,1.1495466297222703,normal
2026-01-01 00:04:00,220.59557073931572,218.92010192977418,219.99770855225248,380.7702281823022,57.223245240462326,57.02016775513454,54.582466452705816,34.163587269857416,12.62538511884144,36.42184845040442,0.9379970738272091,60.00065004660364,1.943429908457896,9.800417118026676,0.7621386573410085,normal
2026-01-01 00:05:00,220.33326939852208,219.0710178253703,220.98815142292736,381.2777522235348,58.19273113606459,60.35463720921513,56.27631633439293,35.55835181410647,13.891748516830827,38.17560818887684,0.9314416587203723,60.00518061628172,2.203503968889049,8.683172300150066,0.8709065180177018,normal
2026-01-01 00:06:00,219.75635890370745,217.99706524904695,220.62592175540698,380.11549258896673,62.77438121948737,65.08468231660046,63.94786401364296,38.5155662592365,16.78312304815509,42.01335577550491,0.9167457716313218,60.01312345965925,2.116534066374205,9.301340024262847,1.1978762043638262,normal
2026-01-01 00:07:00,220.44028640214728,219.07857432311744,221.0979055325207,381.4072678301125,60.32656739586197,64.55591320193837,64.26510470718956,37.72465479844631,15.176747208687985,40.66304508393778,0.9277380658672767,60.01404643125952,2.343861145912512,9.175652800859142,0.9170208716510053,normal
2026-01-01 00:08:00,220.32344192781915,218.70727858177085,220.0525404004849,380.52189810480803,64.6779992713149,63.80735105058106,62.323028172952796,38.4208306354934,16.03970897459059,41.63451081387687,0.9228121066979765,60.01098918714402,2.3566755527559837,8.72395356381083,0.7356415077891676,normal
2026-01-01 00:09:00,220.2942589452705,221.2288745049026,221.1712423172688,382.6067762397836,64.2199202169069,62.230013050572985,60.078076155441316,36.84563511591385,16.305118782421786,40.292154640872056,0.9144617716357595,60.00249567493485,2.414146444933398,8.396316596909754,0.42309800436275075,normal
2026-01-01 00:10:00,220.1479115068855,219.37921065474706,221.17613336411705,381.4572024322536,66.57050022422884,66.38423355864808,67.00050178796896,40.40776470749666,15.998668843746115,43.459692284095446,0.9297756745112604,60.00021524853484,2.34438985921996,7.577213303696717,0.8159136621508425,normal
2026-01-01 00:11:00,220.47196217753148,219.0408194616667,221.989005388928,381.9182348101071,64.31115297490953,64.63064505170075,67.49709031077427,40.30171300415552,17.54358405744586,43.95458352265423,0.9168944345334085,60.000372319267726,2.2511438780612627,9.987296441877813,1.3370421600097449,normal
